,ABATILLES PLATES,ABATILLES RED,AVECESAR,BADOIT 33cl,BAILEYS,BIERE SANS GLUTEN,Boisson Rouge,BRIE,CAFEGOURMAND,CAFEGOURMANDMENU,CAPPUCCINO,CHAMPAGNE BOUTEILLE,CHAMPAGNE COUPE,CHOCOLAT,COCA,COCA ZERO,Cocktail Saint Valentin alcoolisé,Cocktail Saint Valentin sans alcool,COMPOTEE CERISE NOIRE,Crème au bleu,CREME POIVRE VERT,CREMEBRULEE,CROQUANT,DECA,DESPERADOS,Dessert du jour,Domaine La Colombette Rosé,DOUBLE EXPRESSO,DUOSALADE,EVIAN,EXPRESSO,FRAICHEUR,FUMAX,GATEAUCAROTTE,GET,GIN,GRIMBERGEN,GROSSEFRITE,HAMBOURGEOIS DU MOMENT,HAMBOURGEOIS DU MOMENT MENU,HAMPE,HOEGGARDEN,INFUSION,JUS FRUIT MAISON,KEKETTE EXTRA,KEKETTE RED,KIR,LATTE MACCHIATTO,LILLET,MALIBU,MARTINI,MAX CUVEE ,MAXCHAMPETRE,MAXCHAMPETRE MENU,MAXCOCOTTE,MAXCOCOTTE MENU,MAXHALEINE,MAXHALEINE MENU,MAXIFLETTE,MAXIFLETTE MENU,MAXINUS,MAXINUS MENU,MAXNAUDOU,MAXNAUDOU MENU,MAXPARTOUT,MAXPARTOUT MENU,MAXPOUSSIN,MAXYONNAISE,MENU HAMBOURGEOIS,MENU PLAT,MINIMAX,MOKACCINO,MOUFLET,MOUSSECHOCO,NUGGETS,OASIS,ORANGINA,PAPOLLE BLANC MOEL,PAPOLLE BLANC SEC,PAPOLLE ROSE,PAPOLLE ROUGE,PASTIS,PATATEDOUCE,PELFORTH,PESTO,PICHET PUNCH,PICHET SANGRIA,PINEAU,PINT PELFORTH,PLANTAMAX,PLANTAMAX MENU,PLAT DU MOMENT,PORTO,PUNCH Maison,RED BULL,RHUM,RHUM ARRANGE,RICARD,SALADEASIAT,SANGRIA,SAUCE BARBECUE,Sauce Forestière,SAUCE POIVRE,SAUMON,SCHWEPPES,SIROP,SOUPEFRUIT,TAPAS,TARTARE,TEQUILA,THE,THE GLACE,TOURISTE,Verre de Boisson Rouge,Verre de Bordeaux Rouge Agape,VERRE MAX CUVEE,VERRE PAPOLLE BLANC MOEL,VERRE PAPOLLE BLANC SEC,VERRE PAPOLLE ROSE,VERRE PAPOLLE ROUGE,Verre Rosé la Colombette,VODKA,WHISKY,XAMAX,XAMAX MENU
20,0.0012026458208057728,0.0036079374624173183,0.015634395670475046,0.0012026458208057728,0.0024052916416115455,0.0012026458208057728,0.0012026458208057728,0.00841852074564041,0.013830426939266387,0.1713770294648226,0.0006013229104028864,0.009921828021647625,0.0009019843656043296,0.0,0.04630186410102225,0.010823812387251955,0.0006013229104028864,0.003006614552014432,0.0006013229104028864,0.011425135297654841,0.0,0.12447384245339747,0.06253758268190018,0.02826217678893566,0.004810583283223091,0.0,0.0,0.0,0.022850270595309682,0.012627781118460614,0.1238725195429946,0.030667468430547205,0.015634395670475046,0.022850270595309682,0.0006013229104028864,0.0006013229104028864,0.010823812387251955,0.26157546602525555,0.0024052916416115455,0.0018039687312086591,0.02465423932651834,0.005411906193625977,0.0132291040288635,0.0661455201443175,0.0072158749248346366,0.012026458208057728,0.0012026458208057728,0.0,0.0006013229104028864,0.0018039687312086591,0.004810583283223091,0.0036079374624173183,0.003006614552014432,0.03788334335538184,0.0012026458208057728,0.025856885147324114,0.0006013229104028864,0.028863499699338546,0.01984365604329525,0.1539386650631389,0.004810583283223091,0.07456404088995791,0.003006614552014432,0.027059530968129887,0.010222489476849068,0.0661455201443175,0.0036079374624173183,0.010222489476849068,0.48947684906794947,0.05652435357787132,0.012026458208057728,0.0,0.02465423932651834,0.0974143114852676,0.025856885147324114,0.0132291040288635,0.0072158749248346366,0.0,0.0012026458208057728,0.0006013229104028864,0.004209260372820205,0.0006013229104028864,0.25856885147324116,0.025856885147324114,0.0012026458208057728,0.006013229104028864,0.0,0.0018039687312086591,0.010823812387251955,0.003006614552014432,0.03307276007215875,0.0024052916416115455,0.003006614552014432,0.032471437161755864,0.0006013229104028864,0.0018039687312086591,0.0012026458208057728,0.0036079374624173183,0.03307276007215875,0.0024052916416115455,0.013830426939266387,0.0012026458208057728,0.00661455201443175,0.014431749849669273,0.003006614552014432,0.0072158749248346366,0.10944076969332532,0.01803968731208659,0.01503307276007216,0.0006013229104028864,0.027059530968129887,0.0661455201443175,0.009621166566446182,0.0,0.0012026458208057728,0.025856885147324114,0.010823812387251955,0.006013229104028864,0.00661455201443175,0.011425135297654841,0.0006013229104028864,0.0006013229104028864,0.004209260372820205,0.004209260372820205,0.04028863499699339
43,0.0039624302905782215,0.0058702670971529205,0.0029351335485764602,0.0035221602582917524,0.002788376871147637,0.0014675667742882301,0.0007337833871441151,0.010126210742588787,0.07499266216612856,0.00924567067801585,0.0008805400645729381,0.007044320516583505,0.0009539184032873496,0.0007337833871441151,0.0350748459054887,0.01805107132374523,0.0026416201937188143,0.0017610801291458762,0.003228646903434106,0.05253889051951864,0.000293513354857646,0.05694159084238333,0.035368359260346344,0.017023774581743468,0.0058702670971529205,0.0014675667742882301,0.00044027003228646906,0.001027296742001761,0.027737012034047548,0.004255943645435867,0.07425887877898445,0.0014675667742882301,0.003228646903434106,0.011447020839448195,0.000587026709715292,0.000293513354857646,0.013061344291165247,0.27648958027590254,0.03492808922805988,0.0,0.0030818902260052834,0.010566480774875257,0.006897563839154681,0.05019078368065747,0.009392427355444672,0.006897563839154681,0.0013208100968594072,0.000587026709715292,0.002494863516289991,0.001027296742001761,0.0035221602582917524,0.001027296742001761,0.027737012034047548,0.0017610801291458762,0.02729674200176108,0.002348106838861168,0.016436747872028177,0.001614323451717053,0.15145289110654533,0.011593777516877018,0.06325212797182272,0.003668916935720575,0.027003228646903434,0.001614323451717053,0.07103023187555034,0.003668916935720575,0.0035221602582917524,0.03933078955092457,0.03140592896976813,0.0029351335485764602,0.011887290871734664,0.000293513354857646,0.028324038743762842,0.04652186674493689,0.04666862342236572,0.017170531259172294,0.010566480774875257,0.0,0.000293513354857646,0.001614323451717053,0.0033754035808629293,0.000587026709715292,0.20076313472262988,0.03243322571176988,0.007631347226298797,0.0033754035808629293,0.00044027003228646906,0.0017610801291458762,0.010859994129732903,0.02817728206633402,0.002348106838861168,0.00044027003228646906,0.0013208100968594072,0.017317287936601117,0.0013208100968594072,0.001614323451717053,0.0007337833871441151,0.0013208100968594072,0.031552685647196946,0.0019078368065746992,0.04578808335779278,0.000293513354857646,0.04432051658350455,0.0022013501614323453,0.010126210742588787,0.007924860581156443,0.047989433519225126,0.01408864103316701,0.005283240387437629,0.0008805400645729381,0.011887290871734664,0.049750513648371,0.001614323451717053,0.000146756677428823,0.000587026709715292,0.01599647783974171,0.008658643968300558,0.0058702670971529205,0.008071617258585266,0.009832697387731142,0.0014675667742882301,0.0014675667742882301,0.0030818902260052834,0.038156736131493986,0.002788376871147637
44,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.10204081632653061,0.061224489795918366,0.0,0.0,0.0,0.0,0.061224489795918366,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,0.02040816326530612,0.04081632653061224,0.04081632653061224,0.0,0.0,0.0,0.0,0.061224489795918366,0.0,0.08163265306122448,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.0,0.20408163265306123,0.0,0.0,0.04081632653061224,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.02040816326530612,0.0,0.0,0.02040816326530612,0.0,0.04081632653061224,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.061224489795918366,0.08163265306122448,0.0,0.0,0.0,0.08163265306122448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.02040816326530612,0.0,0.0,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.24489795918367346,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.04081632653061224,0.10204081632653061,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.04081632653061224,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0.0,0.04081632653061224,0.0
5,0.0038730820795471474,0.005809623119320721,0.0025323998212423656,0.0034261879934455535,0.0025323998212423656,0.0016386116490391778,0.0007448234768359899,0.010129599284969463,0.07567406524653657,0.008639952331297482,0.0008937881722031879,0.007075823029941904,0.0009682705198867869,0.0007448234768359899,0.03158051541784597,0.01698197527186057,0.0026813645166095636,0.0017875763444063757,0.0031282586027111575,0.05273350215998808,0.00029792939073439596,0.05645761954416803,0.035751526888127515,0.01698197527186057,0.005064799642484731,0.0014896469536719798,0.00044689408610159393,0.0010427528675703858,0.028154327424400417,0.004171011470281543,0.07433338298823179,0.0010427528675703858,0.0026813645166095636,0.01102338745717265,0.0005958587814687919,0.00014896469536719798,0.013108893192313422,0.25934753463429167,0.035453597497393116,0.0,0.0025323998212423656,0.010427528675703858,0.007150305377625503,0.046774914345300164,0.009682705198867868,0.006554446596156711,0.0013406822583047818,0.0005958587814687919,0.0025323998212423656,0.0010427528675703858,0.0035751526888127515,0.0010427528675703858,0.028154327424400417,0.0023834351258751676,0.027707433338298823,0.0026813645166095636,0.016684045881126174,0.0017875763444063757,0.1537315656189483,0.010874422761805452,0.06420378370326232,0.0029792939073439596,0.027409503947564428,0.0017875763444063757,0.07209891255772381,0.0037241173841799495,0.0023834351258751676,0.0370922091464323,0.03158051541784597,0.0025323998212423656,0.00819305824519589,0.00029792939073439596,0.013108893192313422,0.04483837330552659,0.021897810218978103,0.011917175629375838,0.009235811112766274,0.0,0.00044689408610159393,0.0016386116490391778,0.0034261879934455535,0.00044689408610159393,0.20244302100402203,0.032027409503947564,0.0075971994637270964,0.0034261879934455535,0.00044689408610159393,0.0019365410397735737,0.010874422761805452,0.028601221510502012,0.0026813645166095636,0.0017875763444063757,0.0013406822583047818,0.017130939967227768,0.0013406822583047818,0.0013406822583047818,0.0007448234768359899,0.0011917175629375838,0.03158051541784597,0.0019365410397735737,0.044391479219425,0.0007448234768359899,0.043050796961120213,0.0014896469536719798,0.009086846417399076,0.006256517205422315,0.04781766721287055,0.014151646059883808,0.0035751526888127515,0.0008937881722031879,0.01176821093400864,0.04722180843140176,0.0008937881722031879,0.00014896469536719798,0.0005958587814687919,0.015790257708922985,0.008937881722031879,0.005660658423953523,0.007895128854461492,0.010129599284969463,0.0014896469536719798,0.0013406822583047818,0.0029792939073439596,0.03873082079547147,0.0026813645166095636
6,0.001156515034695451,0.0038550501156515036,0.01079414032382421,0.0,0.009252120277563608,0.004626060138781804,0.003469545104086353,0.014263685427910563,0.07247494217424827,0.03315343099460293,0.0007710100231303007,0.016576715497301466,0.00038550501156515033,0.00038550501156515033,0.013492675404780262,0.005397070161912105,0.001156515034695451,0.0,0.002313030069390902,0.049730146491904395,0.0,0.058596761757902856,0.03777949113338473,0.018889745566692366,0.01966075558982267,0.0,0.0,0.002313030069390902,0.02120277563608327,0.0015420200462606013,0.09868928296067848,0.0026985350809560524,0.01233616037008481,0.01156515034695451,0.00038550501156515033,0.001156515034695451,0.04279105628373169,0.20084811102544334,0.026985350809560524,0.00038550501156515033,0.015420200462606014,0.03353893600616808,0.005782575173477255,0.013107170393215111,0.03276792598303778,0.02428681572860447,0.0050115651503469544,0.001156515034695451,0.007710100231303007,0.004240555127216654,0.013492675404780262,0.0019275250578257518,0.016962220508866616,0.0050115651503469544,0.01233616037008481,0.0038550501156515036,0.01233616037008481,0.006939090208172706,0.11757902852737086,0.026985350809560524,0.04510408635312259,0.013878180416345412,0.01927525057825752,0.004626060138781804,0.042020046260601386,0.008095605242868157,0.0019275250578257518,0.025057825751734774,0.08018504240555127,0.009252120277563608,0.010023130300693909,0.0007710100231303007,0.013492675404780262,0.03585196607555898,0.028912875867386275,0.0050115651503469544,0.003469545104086353,0.00038550501156515033,0.00038550501156515033,0.001156515034695451,0.001156515034695451,0.002313030069390902,0.17887432536622977,0.10755589822667695,0.0050115651503469544,0.01156515034695451,0.0015420200462606013,0.0065535851966075555,0.03662297609868928,0.015034695451040863,0.0030840400925212026,0.001156515034695451,0.005782575173477255,0.06515034695451041,0.0,0.005397070161912105,0.003469545104086353,0.005782575173477255,0.029683885890516577,0.007710100231303007,0.03238242097147263,0.001156515034695451,0.040863531225905934,0.006939090208172706,0.0030840400925212026,0.0,0.05397070161912105,0.03276792598303778,0.016962220508866616,0.0026985350809560524,0.009252120277563608,0.01156515034695451,0.0065535851966075555,0.0,0.0007710100231303007,0.014263685427910563,0.003469545104086353,0.0050115651503469544,0.006168080185042405,0.007710100231303007,0.0007710100231303007,0.004240555127216654,0.01233616037008481,0.02274479568234387,0.007324595219737857
ABATILLES PLATES_event,0.6346153846153846,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.057692307692307696,0.0,0.038461538461538464,0.038461538461538464,0.019230769230769232,0.0,0.0,0.0,0.019230769230769232,0.057692307692307696,0.0,0.09615384615384616,0.057692307692307696,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.23076923076923078,0.057692307692307696,0.0,0.019230769230769232,0.0,0.038461538461538464,0.09615384615384616,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.057692307692307696,0.0,0.0,0.0,0.019230769230769232,0.0,0.11538461538461539,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.057692307692307696,0.0,0.09615384615384616,0.0,0.019230769230769232,0.0,0.038461538461538464,0.0,0.019230769230769232,0.0,0.057692307692307696,0.038461538461538464,0.057692307692307696,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.038461538461538464,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.019230769230769232,0.0,0.07692307692307693,0.0,0.019230769230769232,0.057692307692307696,0.0,0.0,0.1346153846153846,0.0,0.019230769230769232,0.0,0.019230769230769232,0.057692307692307696,0.019230769230769232,0.0,0.0,0.0,0.0,0.019230769230769232,0.019230769230769232,0.0,0.019230769230769232,0.0,0.0,0.038461538461538464,0.0
ABATILLES RED_event,0.011494252873563218,0.7011494252873564,0.04597701149425287,0.0,0.0,0.0,0.0,0.0,0.14942528735632185,0.04597701149425287,0.0,0.022988505747126436,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.022988505747126436,0.05747126436781609,0.0,0.034482758620689655,0.034482758620689655,0.06896551724137931,0.011494252873563218,0.011494252873563218,0.0,0.0,0.04597701149425287,0.0,0.12643678160919541,0.011494252873563218,0.10344827586206896,0.011494252873563218,0.0,0.0,0.0,0.3218390804597701,0.034482758620689655,0.0,0.011494252873563218,0.0,0.011494252873563218,0.04597701149425287,0.0,0.0,0.011494252873563218,0.0,0.022988505747126436,0.011494252873563218,0.011494252873563218,0.0,0.022988505747126436,0.0,0.011494252873563218,0.0,0.0,0.011494252873563218,0.09195402298850575,0.0,0.09195402298850575,0.022988505747126436,0.022988505747126436,0.0,0.05747126436781609,0.011494252873563218,0.0,0.022988505747126436,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.12643678160919541,0.011494252873563218,0.0,0.0,0.011494252873563218,0.0,0.0,0.034482758620689655,0.011494252873563218,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.04597701149425287,0.0,0.034482758620689655,0.0,0.034482758620689655,0.022988505747126436,0.022988505747126436,0.011494252873563218,0.1724137931034483,0.04597701149425287,0.06896551724137931,0.0,0.011494252873563218,0.09195402298850575,0.0,0.0,0.0,0.022988505747126436,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.05747126436781609,0.011494252873563218
ACCOMPAGNEMENTS,0.0028059236165237722,0.0048324240062353856,0.006858924395946999,0.0028059236165237722,0.0018706157443491816,0.0009353078721745908,0.0009353078721745908,0.008106001558846453,0.052533125487139516,0.013250194855806703,0.0006235385814497272,0.0064692127825409194,0.0007014809041309431,0.000779423226812159,0.022135619641465317,0.013406079501169135,0.001558846453624318,0.0012470771628994544,0.0014029618082618861,0.025565081839438817,0.0,0.04395946999220577,0.02665627435697584,0.01387373343725643,0.003897116134060795,0.0010911925175370225,0.0003117692907248636,0.0009353078721745908,0.018706157443491817,0.0029618082618862044,0.05502727981293842,0.0026500389711613405,0.008885424785658612,0.009664848012470771,0.0003117692907248636,0.0003117692907248636,0.006858924395946999,0.16835541699142634,0.016679657053780203,0.0,0.010756040530007794,0.00607950116913484,0.005455962587685113,0.0338269680436477,0.0056118472330475445,0.004053000779423227,0.0012470771628994544,0.0006235385814497272,0.0012470771628994544,0.0009353078721745908,0.001558846453624318,0.0012470771628994544,0.012626656274356976,0.0032735775526110678,0.015276695245518316,0.003117692907248636,0.007638347622759158,0.0018706157443491816,0.08402182385035074,0.012938425565081839,0.03195635229929852,0.005923616523772409,0.016835541699142635,0.002182385035074045,0.038659392049883085,0.007014809041309431,0.0029618082618862044,0.02338269680436477,0.041309431021044424,0.005923616523772409,0.017614964925954792,0.0001558846453624318,0.01574434918160561,0.036009353078721745,0.027123928293063135,0.014029618082618862,0.00779423226812159,0.0,0.0003117692907248636,0.0014029618082618861,0.002338269680436477,0.0003117692907248636,0.1348402182385035,0.019329696024941542,0.004053000779423227,0.0020265003897116133,0.0004676539360872954,0.001558846453624318,0.008417770849571318,0.01558846453624318,0.001558846453624318,0.0009353078721745908,0.0010911925175370225,0.010756040530007794,0.0009353078721745908,0.0001558846453624318,0.0009353078721745908,0.0010911925175370225,0.026500389711613406,0.0014029618082618861,0.025253312548713953,0.0003117692907248636,0.022915042868277474,0.0065471551052221355,0.006703039750584568,0.006235385814497272,0.037412314886983634,0.012938425565081839,0.009197194076383476,0.000779423226812159,0.009976617303195635,0.03351519875292284,0.004208885424785659,0.0001558846453624318,0.0004676539360872954,0.010600155884645362,0.005923616523772409,0.004520654715510522,0.0074824629773967265,0.006858924395946999,0.0010911925175370225,0.0006235385814497272,0.0028059236165237722,0.018550272798129385,0.0034294621979734994
APERITIFS,0.0027397260273972603,0.0047749510763209395,0.006653620352250489,0.002661448140900196,0.00187866927592955,0.000939334637964775,0.0007045009784735812,0.006575342465753425,0.042583170254403134,0.014403131115459883,0.0007045009784735812,0.005870841487279844,0.0007045009784735812,0.0003913894324853229,0.021682974559686888,0.01283757338551859,0.001487279843444227,0.0010176125244618396,0.0017221135029354207,0.024422700587084147,0.0,0.03702544031311154,0.022074363992172212,0.010958904109589041,0.003992172211350294,0.0007827788649706458,0.00023483365949119374,0.0007827788649706458,0.014090019569471625,0.0031311154598825833,0.050645792563600786,0.0025048923679060666,0.00853228962818004,0.006888454011741683,0.0003131115459882583,0.00023483365949119374,0.008845401174168297,0.1403522504892368,0.016125244618395304,7.827788649706458e-05,0.009158512720156557,0.006966731898238748,0.00461839530332681,0.032954990215264185,0.006653620352250489,0.004931506849315068,0.0010176125244618396,0.000547945205479452,0.0015655577299412916,0.0008610567514677103,0.0027397260273972603,0.0011741682974559687,0.011506849315068493,0.0025048923679060666,0.011898238747553816,0.0023483365949119373,0.007906066536203522,0.0028180039138943247,0.06786692759295498,0.014090019569471625,0.029354207436399216,0.005949119373776908,0.012211350293542074,0.002270058708414873,0.03225048923679061,0.0055577299412915854,0.0019569471624266144,0.018551859099804304,0.04187866927592955,0.005870841487279843,0.011428571428571429,0.0003131115459882583,0.012367906066536203,0.029354207436399216,0.018551859099804304,0.009941291585127202,0.006966731898238748,0.00015655577299412916,0.0003913894324853229,0.0014090019569471624,0.0023483365949119373,0.0004696673189823875,0.10677103718199608,0.021682974559686888,0.0037573385518591,0.0025048923679060666,0.0003131115459882583,0.001330724070450098,0.007123287671232876,0.01197651663405088,0.0025048923679060666,0.0008610567514677103,0.0011741682974559687,0.012054794520547946,0.0007045009784735812,0.001095890410958904,0.0007045009784735812,0.0011741682974559687,0.01675146771037182,0.0015655577299412916,0.021761252446183953,0.0003913894324853229,0.021056751467710372,0.005870841487279843,0.006027397260273973,0.005009784735812133,0.033424657534246574,0.011663405088062623,0.009315068493150684,0.000547945205479452,0.007123287671232876,0.030528375733855185,0.003679060665362035,7.827788649706458e-05,0.0007045009784735812,0.011898238747553816,0.005870841487279843,0.0040704500978473585,0.005401174168297456,0.00735812133072407,0.001330724070450098,0.0008610567514677103,0.0025048923679060666,0.017690802348336594,0.0037573385518591
AVECESAR_event,0.0,0.013114754098360656,0.2819672131147541,0.0,0.003278688524590164,0.0,0.0,0.013114754098360656,0.11475409836065574,0.022950819672131147,0.003278688524590164,0.014754098360655738,0.003278688524590164,0.0,0.036065573770491806,0.02622950819672131,0.0,0.0,0.0,0.03278688524590164,0.0,0.07213114754098361,0.036065573770491806,0.019672131147540985,0.009836065573770493,0.0,0.0,0.0,0.04590163934426229,0.013114754098360656,0.1180327868852459,0.013114754098360656,0.01639344262295082,0.01639344262295082,0.0,0.0,0.013114754098360656,0.18360655737704917,0.03278688524590164,0.0,0.013114754098360656,0.019672131147540985,0.013114754098360656,0.07213114754098361,0.003278688524590164,0.0,0.0,0.003278688524590164,0.006557377049180328,0.0,0.003278688524590164,0.0,0.01639344262295082,0.003278688524590164,0.013114754098360656,0.013114754098360656,0.01639344262295082,0.003278688524590164,0.07213114754098361,0.01639344262295082,0.036065573770491806,0.009836065573770493,0.02622950819672131,0.006557377049180328,0.029508196721311476,0.006557377049180328,0.003278688524590164,0.036065573770491806,0.05901639344262295,0.003278688524590164,0.009836065573770493,0.0,0.013114754098360656,0.04918032786885246,0.013114754098360656,0.013114754098360656,0.019672131147540985,0.0,0.0,0.013114754098360656,0.009836065573770493,0.0,0.12786885245901639,0.04918032786885246,0.0,0.0,0.0,0.006557377049180328,0.009836065573770493,0.013114754098360656,0.0,0.003278688524590164,0.003278688524590164,0.019672131147540985,0.0,0.003278688524590164,0.0,0.006557377049180328,0.02622950819672131,0.006557377049180328,0.006557377049180328,0.0,0.022950819672131147,0.013114754098360656,0.006557377049180328,0.013114754098360656,0.05901639344262295,0.029508196721311476,0.019672131147540985,0.0,0.009836065573770493,0.029508196721311476,0.0,0.0,0.006557377049180328,0.02622950819672131,0.006557377049180328,0.009836065573770493,0.003278688524590164,0.009836065573770493,0.0,0.0,0.003278688524590164,0.01639344262295082,0.0
