,no_partner,1partner,2_3partners,group, 1st time,2nd time,more than 2,tlevel_1,tlevel_2,tlevel_3,tlevel_4
ABATILLES PLATES,0.38480807290194347,0.14366003534696836,0.29664972561077757,0.1748821661403106,0.8554572812393378,0.12554692339483497,0.018995795365827205,0.09281226326352573,0.1309655996325243,0.14177318489040722,0.6344489522135427
ABATILLES RED,0.17037894599428932,0.5364766132957857,0.29314444070992496,0.0018884989747739863,0.9052206871019284,0.05904453403726013,0.03573477886081134,0.040201880756351054,0.07923181011377932,0.24563774109157516,0.6349285680382944
AVECESAR,0.28645469407175783,0.25074942232301545,0.3326119791394429,0.13018390446578387,0.9092759176931311,0.04058993281454598,0.050134149492323,0.10559031626113273,0.33119081884613416,0.17222401176438543,0.39099485312834764
BADOIT 33cl,0.23924886728394845,0.4033290964812231,0.32856702799279014,0.02885500824203828,0.7701569974958761,0.207989077675863,0.021853924828260967,0.41656891442962674,0.21590904803673852,0.16502641264468254,0.20249562488895204
BAILEYS,0.2768719069340745,0.32413510032833576,0.2867567618436792,0.11223623089391054,0.8835480028149019,0.024349053956884165,0.09210294322821401,0.10184448218662583,0.0760123186978949,0.06914228355130926,0.7530009155641699
BIERE SANS GLUTEN,0.28887417689050665,0.37285029432360856,0.07479688392970832,0.26347864485617645,0.6900295666617015,0.06481199969800787,0.24515843364029066,0.0072071552227409895,0.008404857950052974,0.03058088907408281,0.9538070977531231
Boisson Rouge,0.0018884989747739863,0.0018884989747739863,0.0018884989747739863,0.0018884989747739863,0.0007501969667433718,0.0007501969667433718,0.0007501969667433718,0.0006362091606899325,0.0006362091606899325,0.0006362091606899325,0.0006362091606899325
BRIE,0.32218256629757863,0.4619371234010754,0.21355846280145077,0.0023218474998951805,0.736593391204364,0.11990244395737955,0.1435041648382564,0.029843228515758387,0.007310973226328339,0.01984068962410889,0.9430051086338043
CAFEGOURMAND,0.09872175626394836,0.5886993528061465,0.2981720236421553,0.014406867287749828,0.9556264571200047,0.03876104433067594,0.0056124985493193336,0.11342877923362084,0.021725211277615262,0.2557418689751527,0.6091041405136112
CAFEGOURMANDMENU,0.054136276845044934,0.31234999576372807,0.5272982200203287,0.1062155073708984,0.9865568152741043,0.012692987759152223,0.0007501969667433718,0.004905950757887758,0.1837151705366603,0.36866310851316403,0.44271577019228786
CAPPUCCINO,0.3299327195528165,0.21726765886134375,0.1518719762794247,0.300927645306415,0.4585729221118661,0.5414270778881338,0.0007501969667433718,0.493892440880894,0.0006362091606899325,0.130978082564476,0.37512947655462997
CHAMPAGNE BOUTEILLE,0.0018884989747739863,1.0,0.0018884989747739863,0.0018884989747739863,1.0,0.0007501969667433718,0.0007501969667433718,0.0006362091606899325,0.0006362091606899325,0.0006362091606899325,1.0
CHAMPAGNE COUPE,0.0018884989747739863,0.18626121763832398,0.8137387823616761,0.0018884989747739863,0.20127241179872757,0.7987275882012724,0.0007501969667433718,0.09089593791702857,0.424004991050497,0.3856831868910705,0.099415884141404
CHOCOLAT,0.5132757778139763,0.48672422218602385,0.0018884989747739863,0.0018884989747739863,0.5019834114677245,0.4980165885322755,0.0007501969667433718,0.0006362091606899325,0.11918984603663603,0.43366960894091044,0.44714054502245365
COCA,0.1961969695789626,0.3802114297676161,0.33564818039686384,0.08794342025655728,0.8703815045881076,0.1207272554015976,0.008891240010294723,0.1184619598504972,0.20395596216947456,0.32690515932678355,0.35067691865324463
COCA ZERO,0.22822602919517074,0.2835606031969595,0.4123293892128524,0.0758839783950174,0.8274146489880535,0.11142086533729063,0.06116448567465585,0.15364591254860333,0.22963510194491243,0.2527454717976242,0.36397351370886005
Cocktail Saint Valentin alcoolisé,0.12819869619861007,0.2161191603322808,0.6556821434691091,0.0018884989747739863,1.0,0.0007501969667433718,0.0007501969667433718,0.0035307916185898965,0.004117547227489787,0.0037454010457240606,0.9886062601081962
