,mean_visit_duration,median_visit_duration,std_visit_duration
ABATILLES PLATES,49.81873549233361,52.34482981645122,27.36608097797538
ABATILLES RED,52.743063227728356,52.5090666691462,32.9791523248818
AVECESAR,55.042258786679355,54.4083333333333,33.68746200379489
BADOIT 33cl,52.17595741057968,54.25034785485152,30.86040643763688
BAILEYS,80.25086447683091,70.5490583340327,55.09508588966249
BIERE SANS GLUTEN,58.293783026371216,60.45089166760446,36.90298549887893
Boisson Rouge,63.53807074173304,61.110724091017026,31.417151072880028
BRIE,54.23040084540119,54.45645110778746,29.171696487399185
CAFEGOURMAND,57.7029691870363,55.6786758517908,32.611238592776594
CAFEGOURMANDMENU,56.55244716125727,57.2651666680972,42.09119612248034
CAPPUCCINO,55.207377207335504,57.6255965172093,23.302260667276343
CHAMPAGNE BOUTEILLE,43.095349141606405,43.095349141606405,28.38500169961873
CHAMPAGNE COUPE,60.315724531467716,60.96290858532946,3.2837132246756466
CHOCOLAT,91.91246000051498,106.601666669051,47.16413053580337
COCA,56.947632419919984,55.117978360820324,31.953499290777014
COCA ZERO,53.41091613013308,53.93846404587329,30.83796899639515
Cocktail Saint Valentin alcoolisé,58.92727982495965,41.49926666816079,52.699594889047
Cocktail Saint Valentin sans alcool,62.99189861085682,56.83665833473205,51.560233250431985
COMPOTEE CERISE NOIRE,42.02643008687651,50.59318810296114,22.458163390962266
Crème au bleu,58.32348638486846,58.2461666703224,37.12306109580419
CREME POIVRE VERT,51.431102380733144,54.61866875429134,12.861915156298432
CREMEBRULEE,59.35249758297161,58.095440400510604,36.20403120289086
CROQUANT,59.972843997558,56.8465666651726,36.9450559130857
DECA,60.67808380458689,62.48100000023845,41.62713597816485
DESPERADOS,60.50758444827632,60.09474054058642,41.40833550873235
Dessert du jour,60.1682307689618,67.3171166658401,49.96154453011376
Domaine La Colombette Rosé,96.45772777795804,92.71711666584021,31.869536162986673
DOUBLE EXPRESSO,60.55709828525406,58.738508957747314,34.38781790533291
DUOSALADE,54.23097067791451,55.65746851405319,31.510941170071387
EVIAN,47.097121662747924,49.444104870935824,31.392454451998496
EXPRESSO,59.80557179589458,60.98560712715005,36.5561659060599
FRAICHEUR,58.32771650025251,52.98934818496441,39.58708937228669
FUMAX,56.068234205021895,55.428266664346104,32.343401901666184
GATEAUCAROTTE,56.99282507991077,56.20176356855385,35.371125554067916
GET,45.34355296943875,10.822616664568601,62.57624156318096
GIN,55.83526034546765,53.41503237734782,36.954525367027024
GRIMBERGEN,58.034942171659964,60.08315819041227,37.162547654931615
GROSSEFRITE,55.371415989977606,55.3217166662216,34.03062282549246
HAMBOURGEOIS DU MOMENT,56.204232996003284,58.27430833180745,37.819935002885366
HAMBOURGEOIS DU MOMENT MENU,59.70423472485146,51.21644827617379,25.465003114049622
HAMPE,55.473157710120034,55.26249805338378,33.126726851250254
HOEGGARDEN,55.80598699459294,58.250600000222505,32.13595887769794
INFUSION,60.38130048018748,61.29395000139875,42.24127127269994
JUS FRUIT MAISON,54.632081543484745,54.412283333142604,31.72671318057013
KEKETTE EXTRA,58.271876345691695,56.09285506445838,38.613461336436494
KEKETTE RED,58.2879572861164,61.945333333810154,35.2142781245759
KIR,84.26516773122817,68.7212666670481,39.0332756928803
LATTE MACCHIATTO,59.89845476150517,65.5197833339373,28.049314148268923
LILLET,63.92037064343072,59.90633333126701,39.31469463599407
MALIBU,89.89189151833816,91.0234333356222,45.56168249239714
MARTINI,68.79189933346228,62.208364842581304,39.93231471546627
MAX CUVEE ,63.908499702969095,55.24462722055063,46.69884625453145
