,ABATILLES PLATES,ABATILLES RED,AVECESAR,BADOIT 33cl,BAILEYS,BIERE SANS GLUTEN,Boisson Rouge,BRIE,CAFEGOURMAND,CAFEGOURMANDMENU,CAPPUCCINO,CHAMPAGNE BOUTEILLE,CHAMPAGNE COUPE,CHOCOLAT,COCA,COCA ZERO,Cocktail Saint Valentin alcoolisé,Cocktail Saint Valentin sans alcool,COMPOTEE CERISE NOIRE,Crème au bleu,CREME POIVRE VERT,CREMEBRULEE,CROQUANT,DECA,DESPERADOS,Dessert du jour,Domaine La Colombette Rosé,DOUBLE EXPRESSO,DUOSALADE,EVIAN,EXPRESSO,FRAICHEUR,FUMAX,GATEAUCAROTTE,GET,GIN,GRIMBERGEN,GROSSEFRITE,HAMBOURGEOIS DU MOMENT,HAMBOURGEOIS DU MOMENT MENU,HAMPE,HOEGGARDEN,INFUSION,JUS FRUIT MAISON,KEKETTE EXTRA,KEKETTE RED,KIR,LATTE MACCHIATTO,LILLET,MALIBU,MARTINI,MAX CUVEE ,MAXCHAMPETRE,MAXCHAMPETRE MENU,MAXCOCOTTE,MAXCOCOTTE MENU,MAXHALEINE,MAXHALEINE MENU,MAXIFLETTE,MAXIFLETTE MENU,MAXINUS,MAXINUS MENU,MAXNAUDOU,MAXNAUDOU MENU,MAXPARTOUT,MAXPARTOUT MENU,MAXPOUSSIN,MAXYONNAISE,MENU HAMBOURGEOIS,MENU PLAT,MINIMAX,MOKACCINO,MOUFLET,MOUSSECHOCO,NUGGETS,OASIS,ORANGINA,PAPOLLE BLANC MOEL,PAPOLLE BLANC SEC,PAPOLLE ROSE,PAPOLLE ROUGE,PASTIS,PATATEDOUCE,PELFORTH,PESTO,PICHET PUNCH,PICHET SANGRIA,PINEAU,PINT PELFORTH,PLANTAMAX,PLANTAMAX MENU,PLAT DU MOMENT,PORTO,PUNCH Maison,RED BULL,RHUM,RHUM ARRANGE,RICARD,SALADEASIAT,SANGRIA,SAUCE BARBECUE,Sauce Forestière,SAUCE POIVRE,SAUMON,SCHWEPPES,SIROP,SOUPEFRUIT,TAPAS,TARTARE,TEQUILA,THE,THE GLACE,TOURISTE,Verre de Boisson Rouge,Verre de Bordeaux Rouge Agape,VERRE MAX CUVEE,VERRE PAPOLLE BLANC MOEL,VERRE PAPOLLE BLANC SEC,VERRE PAPOLLE ROSE,VERRE PAPOLLE ROUGE,Verre Rosé la Colombette,VODKA,WHISKY,XAMAX,XAMAX MENU
Context_1,0.007322247650103621,6.54803840356452e-05,0.007322247650103621,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.02196674295031086,0.014644495300207241,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.007322247650103619,0.02196674295031086,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.036611238250518104,6.54803840356452e-05,0.021966742950310862,0.02196674295031086,6.54803840356452e-05,0.007322247650103621,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.021966742950310862,6.54803840356452e-05,0.036611238250518104,6.54803840356452e-05,0.007322247650103621,6.54803840356452e-05,6.54803840356452e-05,0.007322247650103621,0.014644495300207241,0.0659002288509326,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.007322247650103621,6.54803840356452e-05,0.021966742950310862,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.007322247650103621,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.014644495300207241,6.54803840356452e-05,0.029288990600414483,0.02196674295031086,0.02196674295031086,0.014644495300207241,0.014644495300207241,6.54803840356452e-05,0.014644495300207241,0.007322247650103621,6.54803840356452e-05,0.007322247650103621,0.05857798120082897,0.014644495300207243,0.02196674295031086,6.54803840356452e-05,0.029288990600414483,0.029288990600414483,0.036611238250518104,0.014644495300207241,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.10983371475155432,0.007322247650103621,0.007322247650103621,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.007322247650103622,0.007322247650103621,0.007322247650103621,6.54803840356452e-05,0.014644495300207241,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.021966742950310862,6.54803840356452e-05,0.014644495300207241,6.54803840356452e-05,0.014644495300207243,0.014644495300207241,6.54803840356452e-05,6.54803840356452e-05,0.021966742950310862,0.021966742950310866,0.007322247650103622,6.54803840356452e-05,6.54803840356452e-05,0.014644495300207241,0.014644495300207243,6.54803840356452e-05,6.54803840356452e-05,0.021966742950310862,0.007322247650103621,6.54803840356452e-05,6.54803840356452e-05,0.007322247650103621,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.007322247650103621,0.007322247650103621
Context_2,0.0024527726118573705,0.0024527726118573705,0.0012263863059286853,0.0024527726118573705,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.0061319315296434265,0.029433271342288445,0.009811090447429482,0.0012263863059286853,6.54803840356452e-05,0.0012263863059286853,0.002452772611857371,0.02084856720078765,0.011037476753358167,6.54803840356452e-05,6.54803840356452e-05,0.0012263863059286853,0.008584704141500796,0.0012263863059286853,0.017169408283001595,0.01349024936521554,0.003679158917786056,0.0012263863059286853,6.54803840356452e-05,0.0012263863059286853,6.54803840356452e-05,0.012263863059286855,0.0036791589177860556,0.02820688503635976,0.0012263863059286855,0.007358317835572111,0.003679158917786057,6.54803840356452e-05,6.54803840356452e-05,0.0012263863059286853,0.12141224428693986,0.01349024936521554,6.54803840356452e-05,0.01349024936521554,0.0024527726118573705,0.003679158917786056,0.022074953506716337,0.0012263863059286853,0.0036791589177860556,6.54803840356452e-05,0.0012263863059286853,0.0012263863059286853,0.0012263863059286853,0.0024527726118573705,0.0012263863059286853,0.007358317835572112,6.54803840356452e-05,0.0171694082830016,0.0036791589177860556,0.008584704141500797,0.0024527726118573705,0.03924436178971793,0.008584704141500797,0.01839579458893028,0.003679158917786056,0.013490249365215536,6.54803840356452e-05,0.02698049873043108,0.0036791589177860556,0.007358317835572112,0.01594302197707291,0.040470748095646616,0.007358317835572112,0.014716635671144222,6.54803840356452e-05,0.01594302197707291,0.03433881656600319,0.01962218089485896,0.01349024936521554,0.007358317835572111,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.0024527726118573705,0.0012263863059286853,0.0760359509675785,0.01349024936521554,0.0012263863059286853,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.003679158917786056,0.004905545223714742,0.0061319315296434265,0.0024527726118573705,6.54803840356452e-05,0.02084856720078765,0.0012263863059286853,0.0012263863059286853,6.54803840356452e-05,6.54803840356452e-05,0.012263863059286855,0.0012263863059286853,0.020848567200787652,6.54803840356452e-05,0.0085847041415008,0.0061319315296434265,0.003679158917786056,0.003679158917786056,0.028206885036359767,0.006131931529643427,0.0061319315296434265,0.0012263863059286853,0.004905545223714742,0.02452772611857371,0.002452772611857371,6.54803840356452e-05,6.54803840356452e-05,0.0061319315296434265,0.0024527726118573705,0.0036791589177860556,0.002452772611857371,0.003679158917786056,0.004905545223714741,0.0012263863059286853,6.54803840356452e-05,0.007358317835572111,0.0036791589177860556
Context_3,0.002648472554292799,0.0013242362771463995,0.0013242362771463995,0.0013242362771463995,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.010593890217171196,0.027808961820074387,0.013242362771463996,0.0013242362771463995,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.015890835325756792,0.005296945108585598,6.54803840356452e-05,6.54803840356452e-05,0.0013242362771463995,0.015890835325756796,6.54803840356452e-05,0.022512016711488794,0.023836252988635193,0.002648472554292799,6.54803840356452e-05,0.002648472554292799,6.54803840356452e-05,0.002648472554292799,0.010593890217171196,0.0013242362771463995,0.03443014320580639,6.54803840356452e-05,0.005296945108585598,0.0079454176628784,6.54803840356452e-05,6.54803840356452e-05,0.002648472554292799,0.10593890217171197,0.005296945108585598,6.54803840356452e-05,0.006621181385731998,0.005296945108585598,0.006621181385731998,0.018539307880049594,0.006621181385731999,0.003972708831439198,6.54803840356452e-05,0.0013242362771463995,6.54803840356452e-05,6.54803840356452e-05,0.005296945108585598,0.0013242362771463995,0.009269653940024799,0.003972708831439199,0.006621181385731999,0.0013242362771463995,0.005296945108585598,6.54803840356452e-05,0.05164521480870958,0.022512016711488794,0.017215071602903195,0.010593890217171196,0.009269653940024797,0.002648472554292799,0.03707861576009919,0.006621181385731998,6.54803840356452e-05,0.009269653940024797,0.06488757758017358,0.003972708831439199,0.011918126494317595,6.54803840356452e-05,0.007945417662878396,0.023836252988635193,0.013242362771463996,0.006621181385731999,0.007945417662878396,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.0013242362771463995,6.54803840356452e-05,0.09534501195454077,0.02118778043434239,0.003972708831439199,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.002648472554292799,0.011918126494317597,0.002648472554292799,0.0013242362771463995,6.54803840356452e-05,0.010593890217171196,6.54803840356452e-05,0.002648472554292799,6.54803840356452e-05,6.54803840356452e-05,0.011918126494317597,0.002648472554292799,0.010593890217171196,6.54803840356452e-05,0.014566599048610395,0.003972708831439198,0.0026484725542927994,0.0026484725542927994,0.02913319809722079,0.010593890217171196,0.0026484725542927994,6.54803840356452e-05,0.0013242362771463997,0.017215071602903195,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.007945417662878398,0.003972708831439199,0.006621181385731998,0.0026484725542927994,0.009269653940024797,6.54803840356452e-05,6.54803840356452e-05,0.002648472554292799,0.014566599048610395,0.005296945108585598
Context_4,0.009575246927058582,0.009575246927058582,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.019150493854117163,0.019150493854117163,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.009575246927058582,6.54803840356452e-05,6.54803840356452e-05,0.009575246927058582,6.54803840356452e-05,0.009575246927058582,0.028725740781175742,0.009575246927058582,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.009575246927058582,6.54803840356452e-05,0.028725740781175745,6.54803840356452e-05,6.54803840356452e-05,0.009575246927058582,6.54803840356452e-05,6.54803840356452e-05,0.009575246927058582,0.038300987708234334,0.009575246927058582,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.03830098770823433,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.019150493854117167,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.08617722234352725,0.009575246927058582,6.54803840356452e-05,0.009575246927058582,0.009575246927058582,6.54803840356452e-05,0.019150493854117163,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.028725740781175742,0.009575246927058583,0.009575246927058582,6.54803840356452e-05,6.54803840356452e-05,0.028725740781175745,6.54803840356452e-05,0.009575246927058582,0.009575246927058582,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.11490296312470298,0.009575246927058582,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.028725740781175742,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.009575246927058582,6.54803840356452e-05,6.54803840356452e-05,0.009575246927058582,6.54803840356452e-05,0.009575246927058583,0.009575246927058582,6.54803840356452e-05,0.009575246927058583,0.05745148156235149,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.028725740781175742,0.009575246927058583,6.54803840356452e-05,6.54803840356452e-05,0.019150493854117167,0.009575246927058582,6.54803840356452e-05,0.009575246927058583,0.009575246927058582,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.019150493854117163,6.54803840356452e-05
Context_5,0.001178646912641614,0.002619215361425809,0.005369391490922908,0.0013750880647485496,0.0008512449924633878,0.0005238430722851617,6.54803840356452e-05,0.005958714947243715,0.03280567240185825,0.009363694917097265,0.0003274019201782261,6.54803840356452e-05,0.00019644115210693566,6.548038403564522e-05,0.014733086408020173,0.008054087236384361,0.0005238430722851617,0.0005893234563208069,0.002488254593354518,0.013881841415556788,0.0007202842243920973,0.030055496272361155,0.016108174472768723,0.006220636483386295,0.0020298919051050016,0.0001309607680712904,6.54803840356452e-05,0.0003928823042138713,0.01067330259781017,0.002684695745461454,0.025864751694079854,0.0024227742093188734,0.005369391490922908,0.005893234563208069,0.00019644115210693566,0.0001309607680712904,0.005696793411101134,0.11131665286059686,0.011393586822202267,0.00013096076807129044,0.00792312646831307,0.004125264194245649,0.002815656513532744,0.023638418636867924,0.003208538817746615,0.0028156565135327443,0.0008512449924633876,0.0002619215361425808,0.0009822057605346783,0.0005893234563208069,0.002160852673176292,0.0006548038403564521,0.010345900677631945,0.002815656513532744,0.008381489156562588,0.0020298919051050016,0.006351597251457586,0.0020953722891406466,0.0533010326050152,0.011197145670095332,0.02200140903597679,0.0054348718749585535,0.009232734149025977,0.002160852673176292,0.02435870286126002,0.005238430722851617,0.0015715292168554853,0.009232734149025977,0.040008514645779224,0.004452666114423875,0.0095601360692042,6.54803840356452e-05,0.011982910278523074,0.024162261709153084,0.015387890248376626,0.006809959939707102,0.004911028802673392,0.0001309607680712904,0.0003928823042138713,0.0017024899849267755,0.00150604883281984,6.54803840356452e-05,0.08486257771019619,0.015715292168554853,0.001767970368962421,0.0013750880647485496,0.0003274019201782261,0.000589323456320807,0.004321705346352584,0.009625616453239848,0.0024227742093188734,0.001244127296677259,0.0005238430722851617,0.007792165700241781,0.0005238430722851617,0.0007857646084277425,0.0007857646084277425,0.0007202842243920973,0.013619919879414204,0.0009822057605346783,0.009494655685168555,0.00013096076807129044,0.01257223373484388,0.003928823042138712,0.004190744578281294,0.002357293825283228,0.025995712462151148,0.009101773380954685,0.006220636483386296,0.0003928823042138713,0.0054348718749585535,0.021543046347727277,0.003274019201782261,6.54803840356452e-05,6.54803840356452e-05,0.007923126468313071,0.003797862274067423,0.0026192153614258084,0.003666901505996132,0.004125264194245648,6.54803840356452e-05,0.000589323456320807,0.001244127296677259,0.013161557191164689,0.003077578049675325
Context_6,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.16597094673568208,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.16597094673568208,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.24895642010352315,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.08298547336784105,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.08298547336784104,0.08298547336784104,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.1659709467356821,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05
Context_7,0.001390817989405157,0.004172453968215471,0.005563271957620628,0.004172453968215471,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.005563271957620628,0.025034723809292822,0.011126543915241255,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.0194714518516722,0.001390817989405157,6.54803840356452e-05,6.54803840356452e-05,0.001390817989405157,0.02364390581988767,6.54803840356452e-05,0.016689815872861884,0.01808063386226704,0.0097357259258361,0.001390817989405157,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.01529899788345673,0.002781635978810314,0.019471451851672195,0.0027816359788103147,0.001390817989405157,0.005563271957620628,6.54803840356452e-05,6.54803840356452e-05,0.008344907936430942,0.10431134920538679,0.012517361904646414,6.54803840356452e-05,0.0013908179894051567,0.005563271957620628,0.001390817989405157,0.01808063386226704,0.004172453968215471,0.002781635978810314,6.54803840356452e-05,0.001390817989405157,0.001390817989405157,6.54803840356452e-05,0.002781635978810314,0.004172453968215471,0.013908179894051572,6.54803840356452e-05,0.008344907936430944,6.54803840356452e-05,0.006954089947025786,0.002781635978810314,0.06815008148085269,0.002781635978810314,0.03616126772453408,0.002781635978810314,0.008344907936430942,0.004172453968215471,0.026425541798697983,0.002781635978810314,0.001390817989405157,0.013908179894051569,0.020862269841077356,0.005563271957620629,0.008344907936430942,6.54803840356452e-05,0.020862269841077356,0.026425541798697983,0.020862269841077353,0.011126543915241255,0.006954089947025786,0.002781635978810314,6.54803840356452e-05,0.0013908179894051573,0.001390817989405157,6.54803840356452e-05,0.10570216719479193,0.006954089947025784,0.001390817989405157,6.54803840356452e-05,6.54803840356452e-05,0.001390817989405157,0.008344907936430942,0.008344907936430942,6.54803840356452e-05,0.001390817989405157,0.002781635978810314,0.004172453968215471,0.001390817989405157,6.54803840356452e-05,6.54803840356452e-05,0.001390817989405157,0.008344907936430942,0.001390817989405157,0.016689815872861884,6.54803840356452e-05,0.022253087830482517,0.002781635978810314,0.005563271957620629,0.0027816359788103147,0.013908179894051572,0.006954089947025786,0.0097357259258361,6.54803840356452e-05,6.54803840356452e-05,0.02364390581988767,0.0027816359788103147,0.002781635978810314,6.54803840356452e-05,0.004172453968215471,0.0097357259258361,0.002781635978810314,0.004172453968215471,0.006954089947025786,6.54803840356452e-05,6.54803840356452e-05,0.002781635978810314,0.013908179894051569,0.002781635978810314
Context_8,6.54803840356452e-05,6.54803840356452e-05,0.04149273668392052,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.04149273668392051,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.08298547336784104,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.08298547336784105,6.54803840356452e-05,6.54803840356452e-05,0.04149273668392051,6.54803840356452e-05,6.54803840356452e-05,0.08298547336784104,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.04149273668392052,6.54803840356452e-05,0.04149273668392052,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.04149273668392052,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.08298547336784104,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.04149273668392052,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.04149273668392052,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.04149273668392052,6.54803840356452e-05
Context_9,0.004445650358991484,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.004445650358991484,0.04445650358991484,0.004445650358991484,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.008891300717982966,0.008891300717982968,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.03556520287193187,6.54803840356452e-05,0.02667390215394891,0.004445650358991484,0.008891300717982968,0.004445650358991484,6.54803840356452e-05,6.54803840356452e-05,0.004445650358991484,0.004445650358991484,6.54803840356452e-05,0.031119552512940386,0.004445650358991486,0.008891300717982968,0.013336951076974456,6.54803840356452e-05,6.54803840356452e-05,0.017782601435965936,0.14226081148772754,0.03556520287193187,6.54803840356452e-05,0.004445650358991483,6.54803840356452e-05,6.54803840356452e-05,0.02222825179495742,6.54803840356452e-05,0.004445650358991484,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.004445650358991484,6.54803840356452e-05,0.008891300717982971,6.54803840356452e-05,0.004445650358991486,6.54803840356452e-05,0.004445650358991484,6.54803840356452e-05,0.07113040574386374,0.008891300717982968,0.017782601435965936,0.004445650358991484,6.54803840356452e-05,6.54803840356452e-05,0.03111955251294039,0.008891300717982968,6.54803840356452e-05,0.02222825179495742,0.035565202871931885,0.004445650358991486,0.008891300717982968,6.54803840356452e-05,0.008891300717982968,0.004445650358991484,0.026673902153948905,0.008891300717982968,0.004445650358991484,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.004445650358991484,6.54803840356452e-05,0.06668475538487227,0.013336951076974453,0.004445650358991484,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.008891300717982971,0.004445650358991484,6.54803840356452e-05,6.54803840356452e-05,0.008891300717982968,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.008891300717982968,6.54803840356452e-05,0.017782601435965936,6.54803840356452e-05,0.004445650358991486,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.04445650358991485,6.54803840356452e-05,0.004445650358991486,6.54803840356452e-05,0.004445650358991486,0.022228251794957424,0.004445650358991486,6.54803840356452e-05,6.54803840356452e-05,0.008891300717982971,6.54803840356452e-05,6.54803840356452e-05,0.004445650358991486,0.017782601435965936,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,6.54803840356452e-05,0.004445650358991484
Context_10,0.0026932405149806423,0.0031982231115395133,0.004460679602936689,0.002188257918421772,0.001094128959210886,0.0005891463626520155,6.54803840356452e-05,0.006228118690892737,0.032487213711954,0.00959466933461854,0.0005891463626520155,8.416376609314507e-05,0.00016832753218629014,0.00016832753218629017,0.01994681256407538,0.009678833100711683,0.0008416376609314507,0.0003366550643725803,0.0015991115557697565,0.012792892446158052,0.0013466202574903211,0.029036499302135053,0.01927350243533022,0.0055548085621475755,0.002440749216701207,0.0007574738948383056,0.00016832753218629014,0.0003366550643725803,0.012035418551319748,0.0032823868776326575,0.030214792027439083,0.0027774042810737878,0.007827230246662492,0.006733101287451607,0.00016832753218629017,0.0003366550643725803,0.00446067960293669,0.11774510876430995,0.009005522971966523,0.00025249129827943526,0.008248049077128216,0.0050498259655887045,0.0019357666201423366,0.024575819699198365,0.004039860772470964,0.0026090767488874973,0.0008416376609314507,6.54803840356452e-05,0.0005049825965588704,0.00025249129827943526,0.0005891463626520156,0.0006733101287451606,0.009931324398991121,0.0025249129827943522,0.011782927253040313,0.0023565854506080617,0.009089686738059669,0.0026090767488874977,0.04738420031044068,0.0119512547852266,0.022640053079056026,0.004292352070750399,0.009510505568525392,0.0018516028540491918,0.024659983465291507,0.005386481029961285,0.002188257918421772,0.01127794465648144,0.0419977192804794,0.006733101287451607,0.012203746083506035,0.0003366550643725803,0.015233641662859258,0.02449165593310522,0.015906951791604416,0.008584704141500797,0.00462900713512298,0.0005891463626520155,0.00016832753218629014,0.0015149477896766114,0.0009258014270245959,0.0004208188304657254,0.08643618777765999,0.013297875042716923,0.0016832753218629015,0.0019357666201423366,0.00016832753218629014,0.0006733101287451606,0.0050498259655887045,0.011530435954760878,0.0035348781759120935,0.002440749216701207,0.00042081883046572537,0.006564773755265316,0.00042081883046572537,0.0003366550643725803,0.0008416376609314507,0.0005049825965588704,0.01422367646974152,0.0011782927253040313,0.013382038808810066,0.00025249129827943526,0.010520470761643134,0.005049825965588704,0.004208188304657254,0.003871533240284673,0.026427422553247558,0.007490575182289912,0.00925801427024596,0.0004208188304657254,0.0033665506437258034,0.023313363207801183,0.0027774042810737878,8.416376609314507e-05,0.001009965193117741,0.00580729986042701,0.003029895579353223,0.002188257918421772,0.002104094152328627,0.003450714409818948,0.0012624564913971761,0.0006733101287451606,0.0016832753218629015,0.015822788025511274,0.002440749216701207
