"D.PersonID","D.OrderHeaderID","H.ID","DeviceID","H.CreationDatetime","H.H.LastEditionDatetime","D.WorkspaceLocation","user_visit","H.NbDiners","nb_visits","avg_ticketU","Date","pch_freq"
"-1",50,50,"5","2016-03-24 20:09:04.453","2016-03-24 20:09:04.453","NULL",0,1,1,21.3,2016-03-24,0
"10000",1085,1085,"3","2016-09-20 10:37:02.813","2016-09-20 10:37:02.813","NULL",0,2,1,19.2,2016-09-20,0
"10001",1086,1086,"11","2016-09-20 11:12:11.033","2016-09-20 11:12:11.033","NULL",0,2,1,25,2016-09-20,0
"10002",1086,1086,"11","2016-09-20 11:12:11.033","2016-09-20 11:12:11.033","NULL",0,2,1,22.5,2016-09-20,0
"10004",1087,1087,"5","2016-09-20 11:32:44.397","2016-09-20 11:32:44.397","NULL",0,2,1,17,2016-09-20,0
"10005",1087,1087,"5","2016-09-20 11:32:44.397","2016-09-20 11:32:44.397","NULL",0,2,1,16,2016-09-20,0
"10006",1088,1088,"2","2016-09-20 14:47:48.467","2016-09-20 14:47:48.467","NULL",0,1,1,10.3,2016-09-20,0
"10014",1089,1089,"9","2016-09-20 17:40:53.457","2016-09-20 17:40:53.457","NULL",0,2,1,18.5,2016-09-20,0
"10016",1089,1089,"9","2016-09-20 17:40:53.457","2016-09-20 17:40:53.457","NULL",0,2,1,21.5,2016-09-20,0
"10017",1093,1093,"11","2016-09-20 19:03:11.877","2016-09-20 19:03:11.877","NULL",0,3,1,16,2016-09-20,0
"10018",1093,1093,"11","2016-09-20 19:03:11.877","2016-09-20 19:03:11.877","NULL",0,3,1,16,2016-09-20,0
"10019",1093,1093,"11","2016-09-20 19:03:11.877","2016-09-20 19:03:11.877","NULL",0,3,1,17.5,2016-09-20,0
"10020",1090,1090,"5","2016-09-20 17:42:10.440","2016-09-20 17:42:10.440","NULL",0,4,1,21.5,2016-09-20,0
"10021",1090,1090,"5","2016-09-20 17:42:10.440","2016-09-20 17:42:10.440","NULL",0,4,1,10,2016-09-20,0
"10022",1090,1090,"5","2016-09-20 17:42:10.440","2016-09-20 17:42:10.440","NULL",0,4,1,18,2016-09-20,0
